SNAPSHOT_TIME;HOST;TABLE_NAME;PART_CNT;ROW_NUM;ROW_PCT;TOTAL_GB;MEM_PCT;MAIN_GB;DELTA_GB;DRAM_GB;PMEM_GB;MERGES;LOADED;DISK_GB;PAGE_COUNT
2021/07/11 08:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 08:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 09:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/11 09:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;      7.35;      3061
2021/07/11 10:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 10:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 11:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 11:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 12:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 12:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 13:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 13:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 14:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 14:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 15:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/11 15:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;      7.35;      3061
2021/07/11 16:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 16:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 17:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 17:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 18:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 18:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 19:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 19:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 20:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 20:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 21:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/11 21:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;      7.35;      3061
2021/07/11 22:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 22:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/11 23:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/11 23:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 00:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 00:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387970;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 01:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 01:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 02:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;;
2021/07/12 02:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;;
2021/07/12 03:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCA; 36; 10243121826; 95.84;    323.34; 98.23;    323.29;      0.03;    323.34;      0.00;  0;PARTIALLY;     54.65;      7076
2021/07/12 03:00:00;sg11scbh1rrd0.hec.standardchartered.com;SAPABAP1.ACDOCC;  1;   444387972;  4.15;      5.80;  1.76;      5.63;      0.17;      5.80;      0.00;  0;PARTIALLY;      7.35;      3061
